0.318412   0.006089
0.310495   0.012198
0.302593   0.018327
0.294707   0.024476
0.286837   0.030645
0.278982   0.036834
0.271143   0.043043
0.263320   0.049272
0.255513   0.055521
0.247722   0.061791
0.239948   0.068081
0.232190   0.074391
0.224449   0.080721
0.216725   0.087072
0.209018   0.093444
0.201328   0.099836
0.193655   0.106250
0.186000   0.112683
0.178362   0.119138
0.170742   0.125614
0.163140   0.132111
0.155556   0.138629
0.147990   0.145168
0.140443   0.151729
0.132915   0.158311
0.125405   0.164914
0.117915   0.171540
0.110444   0.178187
0.102992   0.184855
0.095560   0.191546
0.088148   0.198259
0.080756   0.204994
0.073385   0.211751
0.066034   0.218531
0.058704   0.225333
0.051395   0.232158
0.044107   0.239006
0.036841   0.245877
0.029597   0.252770
0.022376   0.259687
0.015176   0.266628
0.007999   0.273591
0.000846   0.280579
-0.006285   0.287590
-0.013391   0.294626
-0.020474   0.301685
-0.027532   0.308769
-0.034566   0.315877
-0.041575   0.323010
-0.048558   0.330168
-0.055516   0.337350
-0.062447   0.344558
-0.069352   0.351791
-0.076230   0.359050
-0.083081   0.366335
-0.089904   0.373646
-0.096699   0.380982
-0.103465   0.388346
-0.110202   0.395736
-0.116910   0.403153
-0.123587   0.410597
-0.130234   0.418068
-0.136850   0.425567
-0.143434   0.433093
-0.149986   0.440648
-0.156504   0.448231
-0.162990   0.455843
-0.169441   0.463484
-0.175858   0.471154
-0.182239   0.478853
-0.188584   0.486582
-0.194893   0.494341
-0.201164   0.502131
-0.207396   0.509951
-0.213590   0.517802
-0.219743   0.525685
-0.225856   0.533599
-0.231927   0.541545
-0.237955   0.549523
-0.243940   0.557535
-0.249881   0.565579
-0.255776   0.573657
-0.261624   0.581769
-0.267424   0.589915
-0.273175   0.598095
-0.278877   0.606311
-0.284526   0.614562
-0.290123   0.622849
-0.295666   0.631172
-0.301154   0.639532
-0.306584   0.647929
-0.311956   0.656364
-0.317267   0.664837
-0.322516   0.673348
-0.327702   0.681899
-0.332821   0.690489
-0.337874   0.699119
-0.342856   0.707789
-0.347767   0.716500
-0.352603   0.725253
-0.357363   0.734047
-0.362044   0.742884
-0.366643   0.751764
-0.371157   0.760687
